date,hospital,icu,ventilator
2020-03-20,,200,
2020-03-21,,308,
2020-03-22,,364,
2020-03-23,,451,
2020-03-24,,616,
2020-03-25,,789,
2020-03-26,,824,
2020-03-27,,905,642
2020-03-28,,1001,785
2020-03-29,,1063,855
2020-03-30,,1203,951
2020-03-31,,1551,1532
2020-04-01,,1785,1797
2020-04-02,,2103,2021
2020-04-03,,2364,2215
2020-04-04,,2474,
2020-04-05,,2531,
2020-04-06,,2554,
2020-04-07,,2644,
2020-04-08,,2661,
2020-04-09,,2718,1464
2020-04-10,,2704,1810
2020-04-11,,2657,1986
2020-04-12,,2657,1859
2020-04-13,,2722,1841
2020-04-14,,2725,1848
2020-04-15,,2739,1996
2020-04-16,,2817,2083
2020-04-17,,2883,2145
2020-04-18,,2933,2180
2020-04-19,,2875,2133
2020-04-20,,2905,2009
2020-04-21,,2860,2112
2020-04-22,,2744,2046
2020-04-23,,2728,2045
2020-04-24,,2650,1971
2020-04-25,,2543,1883
2020-04-26,,2529,1857
2020-04-27,,2471,1729
2020-04-28,,2394,1748
2020-04-29,,2313,1719
2020-04-30,,2241,1605
2020-05-01,,2124,1549
2020-05-02,,2052,1508
2020-05-03,,2018,1441
2020-05-04,,1980,1396
2020-05-05,,1906,1346
2020-05-06,,1825,1311
2020-05-07,,1769,1230
2020-05-08,,1662,1185
2020-05-09,,1596,1121
2020-05-10,,1605,1073
2020-05-11,,1590,1063
2020-05-12,,1499,1020
2020-05-13,,1386,974
2020-05-14,,1318,892
2020-05-15,,1235,838
2020-05-16,,1176,821
2020-05-17,,1128,797
2020-05-18,,1126,747
2020-05-19,,1088,716
2020-05-20,,1021,672
2020-05-21,,1000,651
2020-05-22,,975,597
2020-05-23,,931,578
2020-05-24,,900,562
2020-05-25,,885,547
2020-05-26,,816,525
2020-05-27,,751,482
2020-05-28,,726,451
2020-05-29,,725,426
2020-05-30,,716,421
2020-05-31,,699,410
2020-06-01,,698,385
2020-06-02,,694,378
2020-06-03,,635,360
2020-06-04,,600,341
2020-06-05,,588,339
2020-06-06,,562,337
2020-06-07,,567,330
2020-06-08,,546,316
2020-06-09,,522,320
2020-06-10,,488,293
2020-06-11,,453,281
2020-06-12,,453,274
2020-06-13,,442,262
2020-06-14,,438,256
2020-06-15,,434,262
2020-06-16,,422,258
2020-06-17,,409,252
2020-06-18,,398,240
2020-06-19,,377,227
2020-06-20,,362,219
2020-06-21,,353,198
2020-06-22,,368,201
2020-06-23,,362,194
2020-06-24,,356,182
2020-06-25,,361,196
2020-06-26,,363,198
2020-06-27,,345,188
2020-06-28,,338,189
2020-06-29,,332,183
2020-06-30,,334,174
2020-07-01,,327,170
2020-07-02,,326,160
2020-07-03,,319,161
2020-07-04,,323,159
2020-07-05,,301,149
2020-07-06,,312,145
2020-07-07,,297,144
2020-07-08,,291,141
2020-07-09,,278,133
2020-07-10,,279,132
2020-07-11,,254,127
2020-07-12,,255,125
2020-07-13,,264,130
2020-07-14,,261,125
2020-07-15,,247,120
2020-07-16,,254,121
2020-07-17,,248,118
2020-07-18,,246,116
2020-07-19,,253,116
2020-07-20,,246,120
2020-07-21,,253,122
2020-07-22,,249,127
2020-07-23,,238,127
2020-07-24,,236,119
2020-07-25,,248,126
2020-07-26,,267,130
2020-07-27,,258,133
2020-07-28,,255,126
2020-07-29,,257,130
2020-07-30,,262,132
2020-07-31,,261,125
2020-08-01,,257,122
2020-08-02,,269,129
2020-08-03,,267,130
2020-08-04,,260,129
2020-08-05,,240,140
2020-08-06,,237,131
2020-08-07,,227,134
2020-08-08,,229,135
2020-08-09,,234,136
2020-08-10,,228,132
2020-08-11,,231,139
2020-08-12,,221,137
2020-08-13,,224,137
2020-08-14,,230,133
2020-08-15,,228,134
2020-08-16,,225,134
2020-08-17,,227,134
2020-08-18,,220,135
2020-08-19,,227,142
2020-08-20,,230,137
2020-08-21,,237,144
2020-08-22,,232,140
2020-08-23,,245,136
2020-08-24,,245,132
2020-08-25,,225,133
2020-08-26,,227,133
2020-08-27,,240,140
2020-08-28,,236,140
2020-08-29,,241,134
2020-08-30,,244,131
2020-08-31,,245,128
2020-09-01,,234,132
2020-09-02,,227,125
2020-09-03,,222,127
2020-09-04,,224,128
2020-09-05,,222,126
2020-09-06,,218,126
2020-09-07,,228,134
2020-09-08,,230,130
2020-09-09,,227,133
2020-09-10,,233,129
2020-09-11,,220,119
2020-09-12,,233,118
2020-09-13,,236,123
2020-09-14,,237,123
2020-09-15,,236,129
2020-09-16,,233,128
2020-09-17,,238,135
2020-09-18,,246,134
2020-09-19,,257,144
2020-09-20,,268,144
2020-09-21,,267,145
2020-09-22,,278,151
2020-09-23,,293,159
2020-09-24,,296,166
